City,StopName,StopAddress,Note
GF Motels,Holiday Inn Express & Suites,"4051 32nd Ave S, Grand Forks, ND 58201",
GF Motels,Best Western Harvest Inn & Suites,"3350 32nd Ave S, Grand Forks, ND 58201",
GF Motels,C'mon Inn Hotel & Suites,"3051 32nd Ave S, Grand Forks, ND 58201",
GF Motels,Meg-A-Latte,"2990 32nd Ave S Suite 300, Grand Forks, ND 58201",
GF Motels,Rodeway Inn Columbia Mall Loop,"3300 30th Ave S, Grand Forks, ND 58201",
GF Motels,Quality Inn,"3251 30th Ave S, Grand Forks, ND 58201",
GF Motels,Days Inn,"3101 S 34th St, Grand Forks, ND 58201",
GF Motels,AmeriVu Inn,"3051 S 34th St, Grand Forks, ND 58201",
GF Motels,Country Inn & Suites By Radisson,"3101 S 42nd St, Grand Forks, ND 58201",
GF Motels,Hampton Inn & Suites Grand Forks,"2985 S 42nd St, Grand Forks, ND 58201",
GF Motels,SpringHill Suites by Marriott Grand Forks,"2837 S 42nd St, Grand Forks, ND 58201",
GF Motels,Sleep Inn & Suites,"1350 S 42nd St, Grand Forks, ND 58201",
GF Motels,Canad Inn Destination Centre,"1000 S 42nd St, Grand Forks, ND 58201",
GF Motels,Grand Forks Lodge,"4040 11th Ave S, Grand Forks, ND 58201",
GF Motels,La Quinta Inn & Suites,"4051 Garden View Dr, Grand Forks, ND 58201",
GF Motels,Baymont by Wyndham Grand Forks,"951 S 42nd St, Grand Forks, ND 58201",
GF Motels,Hilton Garden Inn Grand Forks,"4301 James Ray Dr, Grand Forks, ND 58203",
GF Motels,Speedway 805 Grill & Bar,"805 N 42nd St, Grand Forks, ND 58203",
GF Motels,Stay Inn,"1000 N 42nd St, Grand Forks, ND 58203",
GF Motels,Ramada by Wyndham Grand Forks,"1205 N 43rd St, Grand Forks, ND 58203",
GF Motels,Grand Forks International Airport,"2301 Airport Dr, Grand Forks 58203",
GF Motels,Roadhouse Cafe,"4720 Gateway Dr, Grand Forks, ND 58203",
GF Motels,Long Haul Saloon,"4720 Gateway Dr, Grand Forks, ND 58203",
GF Motels,Knights Inn Grand Forks,"1211 N 47th St, Grand Forks, ND 58203",
Rugby,Heart of America Medical Center,"2975 US-2, Rugby, ND 58368",Back of the building there is garage door.
Rugby,Dakota Farms Restaurant Rugby,"308 US-2, Rugby, ND 58368",
Rugby,Envision Convenience Store (Cenex),"401 2nd St SW, Rugby, ND 58368",
Rugby,Rugby High School (Public School),"1123 South Main Avenue, Rugby, Pierce County, 58368",
Rugby,MJ McGuire Company,"520 3rd Ave SW, Rugby, ND 58368",
Rugby,Growing Place,"1320 ND-3, Rugby, ND 58368",
Rugby,Rugby Farmers Elevator,"105 E Dewey St, Rugby, ND 58368",
Rugby,Rugby Dental Office,"P.C., 901 6th Ave SE, Rugby, ND 58368",
Rugby,B&M Laundry,"209 West Dewey Street, Rugby, Pierce County, 58368",
Rugby,Heart of America Correctional and Treatment Center,"110 Industrial Rd, Rugby, ND 58368",
Rugby,Four Seasons Inn,"1007 11th Street East, Bottineau, 58318",
Rugby,AgCountry Farm Credit Services,"2974 US-2, Rugby, ND 58368",
Rugby,Farmer's Union Oil [Gas Station],"226 11th St E, Bottineau, ND 58318",
Rugby,Bottineau Winter Park,"1 Winter Park Rd, Bottineau, ND 58318",Door code: 2223
Rugby,Metigoshe Coffee House,"80 Twin Oaks Shr, Bottineau, ND 58318",
Rugby,A Frame Bar and Grill,"71 Twin Oaks Shr, Bottineau, ND 58318",
Rugby,Dunseith Elementary School,"101 2nd Ave SW, Dunseith, ND 58329",
Rugby,"Legacy Cooperative - Cenex,"," 2988 US-281, Dunseith, ND 58329",
Rugby,Wagon Wheel Lounge,"504 1st Ave, Rolette, ND 58366",
Rugby,Rolette Community Care Center,"804 State St, Rolette, ND 58366",
Rugby,Meat Shack,"8693 County Rd 15, Rolette, ND 58366",
Rugby,Sky Dancer Casino & Resort," 3965 Sky Dancer Way NE, Belcourt, ND 58316",
Rugby,Dynaband LLC,"1114 Chief Little Shell Street, Belcourt, Turtle Mountain, 58316",
Rugby,McCloud Office Complex (Kalix Thrift Store),"916 Chief Little Shell St, Belcourt, ND 58316",
Rugby,Homestead Meats and Eats,"302 11th St E, Bottineau, ND 58318",
Rugby,Dunseith Community Nursing Home,"15 1st St W, Dunseith, ND 58329",
Rugby,Marie's,"605 Main St, Bottineau, ND 58318",
Rugby,North Central Electric Co-Op,"538 11th St W #1, Bottineau, ND 58318",
Rugby,Legacy Cooperative,"17 Front St NE, Rolla, ND 58367",
Rugby,ARCO (Highway 281 Gas & Go LLC),"19 Main Ave W, Rolla, ND 58367",
Rugby,SMP Health - St. Kateri,"213 2nd Ave NE, Rolla, ND 58367",
Rugby,Dunseith High School,"310 3rd Ave S SW, Dunseith, ND 58329",
Rugby,Heart of America Medical Ctr,"2975 US-2, Rugby, ND 58368",
Rugby,A & C Tires Truck Repair,"101 Industrial Rd, Rugby, ND 58368",
Rugby,Rugby Veterinary Services,"107 Industrial Rd, Rugby, ND 58368",
Rugby,Envision Convenience Store (Cenex),"401 2nd St SW, Rugby, ND 58368",
Rugby,Salesperson House,603 S Main Ave,
Rugby,Little Flower School,"306 3rd Ave SE, Rugby, ND 58368",
Rugby,Leevers Foods,"215 2nd Ave SE, Rugby, ND 58368",
Rugby,3rd St Station,"104 3rd St SE, Rugby, ND 58368",Door Code: 1194*
Rugby,Lyric Theatre," 220 S Main Ave, Rugby, ND 58368",Door Key is in Nodak Insurance
Rugby,Merchant Bank,"210 S Main Ave, Rugby, ND 58368",
Rugby,Backroads Bar,"121 S Main Ave, Rugby, ND 58368",Call the number to access the backdoor
Rugby,Senior Meals & Services Office,"125 S Main Ave, Rugby, ND 58368",
Rugby,Rugby Service Center & Harper Oil,"120 S Main Ave, Rugby, ND 58368",this is a Gas Station
Rugby,Rugby Municipal Airport - KRUG,"North Pierce, ND 58368",
Rugby,Solid Ground Coffee,"123 2nd St SE, Rugby, ND 58368",
Rugby,Denny's Pizza Inn,"307 11th St E E, Bottineau, ND 58318",
Rugby,Mattern Family Meats,"1401 Sinclair St, Bottineau, ND 58318",
Rugby,Turtle Mountain Inn & Bottle Shop,"345 11th St W, Bottineau, ND 58318",
Rugby,Bottineau Senior Citizens,"799 Main St, Bottineau, ND 58318",
Rugby,EDC Building,"519 Main St Suite 7, Bottineau, ND 58318",
Rugby,Botno Theater LLC,"511 Main St, Bottineau, ND 58318",
Rugby,Onarheim's Dario,"305 Main St, Bottineau, ND 58318",
Rugby,Stadium II Sports Bar,"502 Thompson St, Bottineau, ND 58318",You can leave it in Hair Saloon
Rugby,Community Arena,"403 7th St E, Bottineau, ND 58318",
Rugby,Brewed Awakening coffee shop,"217 Main St, Dunseith, ND 58329",
Rugby,Garden Tap,"10 Main St, Dunseith, ND 58329",
Rugby,Legacy Cooperative,"Cenex, 2988 US-281, Dunseith, ND 58329",
Rugby,Rolette City Bar & Grill,"106 Main St, Rolette, ND 58366",Call before leaving the Rugby
Rugby,Little Shell Home for Youth,"151 John Norquay St, Belcourt, Turtle Mountain, 58316",
Rugby,West Side C Store,"221 Main Ave W, Rolla, ND 58367",
Rugby,Neameyer's Body Shop,"15 1st St SW, Rolla, ND 58367",
Rugby,Leevers Foods,"202 Main Ave E, Rolla, ND 58367",
Rugby,SMP Health - St. Kateri,"213 2nd Ave NE, Rolla, ND 58367",
Rugby,Rolla Community Day Care,"111 6th Ave NE, Rolla, ND 58367",
Rugby,Blue Goose Smokehouse,"508 Main Ave E, Rolla, ND 58367",
Rugby,Heartview Foundation - Cando,"7448 68th Ave NE, Cando, ND 58324",
Rugby,Towner Cnty Medical Ctr,"228 1st Ave, Cando, ND 58324",
Rugby,Cando Cenex - Legacy Cooperative,"101 9th St, Cando, ND 58324",
Rugby,K & E Meats,"425 8th Ave, Cando, ND 58324",
Rugby,Reid? Place,"211 Main St, Dunseith, ND 58329",
Rugby,Dacotah Paper Co.,"3940 15th Ave N, Fargo, ND 58102",
Rugby,Bully Brew Coffee,"10 Main St, Dunseith, ND 58329",
Rugby,AG Country Farm Credit Services,"1308 ND-5, Bottineau, ND 58318",
Rugby,First National Bank & Trust Co,"424 Main St, Bottineau, ND 58318",
Rugby,Grace Lutherian Brethren Church,"615 10th St E, Bottineau, ND 58318",
Rugby,Starion Bank,"101 1st St SE, Rolla, ND 58367",
Rugby,Rugby Auto Connection,"1603 S Main Ave, Rugby, ND 58368",
Grand Forks,Country Inn & Suites By Radisson,"3101 S 42nd St, Grand Forks, ND 58201",Check-in at front desk
Grand Forks,Hugo's Family Marketplace,"1315 S Columbia Rd, Grand Forks, ND 58201",Use side entrance for deliveries
Grand Forks,Jeanifer Bennett,"2320 S Washington St, Grand Forks, ND 58201",Call before arrival
Grand Forks,Northside Cafe II,"2950 10th Ave N, Grand Forks, ND 58203",
Grand Forks,Happy Harry's,"2702 Gateway Dr, Grand Forks, ND 58203",
Grand Forks,JL Beers,"2531 S Columbia Rd, Grand Forks, ND 58201",Downstairs
Grand Forks,Icon Sports Center,"1060 47th Ave S, Grand Forks, ND 58201",
Grand Forks,Choice Health & Fitness,"4401 S 11th St, Grand Forks, ND 58201",
Grand Forks,Gate City Bank,"3205 S Washington St, Grand Forks, ND 58201",
Grand Forks,Happy Harry's,"2051 32nd Ave S, Grand Forks, ND 58201",
Grand Forks,Faith Evangilical Free Church,"2315 Library Circle, Grand Forks, ND 58201",
Grand Forks,Grand Forks Growth & Support Center,"2105 Gateway Dr, Grand Forks, ND 58203",
Grand Forks,The Rock Bottle Shop,"1730 13th Ave N Ste 2, Grand Forks, ND 58203",
Grand Forks,Strive Life Grand Forks,"1809 13th Ave N, Grand Forks, ND 58203",Marijuana Store
